TradeDate,Ticker
2021-01-08,ALRN
2021-01-07,LGIQ
2021-01-07,TPL
2021-01-07,BSPK
2021-01-06,WRLD
2021-01-06,HOME
2021-01-06,EYEG
2021-01-06,HHC
2021-01-06,CNFN
2021-01-06,REI
2021-01-06,USIO
2021-01-06,PRGO
2021-01-06,TPL
2021-01-06,GEF
2021-01-06,CLSD
2021-01-05,WRLD
2021-01-05,HOME
2021-01-05,PRTY
2021-01-05,ESOA
2021-01-05,AUB
2021-01-05,AAIC
2021-01-05,REI
2021-01-05,TPL
2021-01-05,GEF
2021-01-04,WRLD
2021-01-04,HOME
2021-01-04,PRTY
2021-01-04,CQP
2021-01-04,CQP
2021-01-04,MDWT
2021-01-04,MLVF
2021-01-04,APRN
2021-01-04,FL
2021-01-04,FOLD
2021-01-04,CODI
2021-01-04,CODI
2021-01-04,CODI
2021-01-04,CODI
2021-01-04,CODI
2021-01-04,CODI
2021-01-04,CODI
2021-01-04,TPL
2021-01-01,NA
2021-01-01,NA
2020-12-31,REI
2020-12-31,PERS
2020-12-31,CQP
2020-12-31,CQP
2020-12-31,DVCR
2020-12-31,MDVL
2020-12-31,GEF
2020-12-31,BNED
2020-12-31,AIRT
2020-12-31,AIRT
2020-12-31,XAIR
2020-12-30,ROOT
2020-12-30,GRTS
2020-12-30,PBFX
2020-12-30,AUB
2020-12-30,CSV
2020-12-30,MCHX
2020-12-30,NJMC
2020-12-30,NJMC
2020-12-30,KFS
2020-12-30,IWSH
2020-12-30,CQP
2020-12-30,CQP
2020-12-30,USIO
2020-12-30,USIO
2020-12-30,GEF
2020-12-30,KR
2020-12-30,IWSH
2020-12-30,FCBP
2020-12-30,ALTA
2020-12-30,BFGC
2020-12-30,TCON
2020-12-29,AIRT
2020-12-29,AIRT
2020-12-29,HOFV
2020-12-29,ODT
2020-12-29,AIRT
2020-12-29,AIRT
2020-12-29,DNMR
2020-12-29,DNMR
2020-12-29,CNFR
2020-12-29,UTL
2020-12-29,SPLP
2020-12-28,AHNR
2020-12-28,CNBKA
2020-12-28,FCBP
2020-12-28,FCBP
2020-12-28,FCBP
2020-12-28,PERS
2020-12-28,ODT
2020-12-28,ODT
2020-12-28,PBF
2020-12-28,IEP
2020-12-28,PBFX
2020-12-28,CLR
2020-12-28,MDVL
2020-12-28,UIHC
2020-12-28,KFS
2020-12-28,GEF
2020-12-28,GTIM
2020-12-28,ACNB
2020-12-28,NSYS
2020-12-28,TPHS
2020-12-28,OPK
2020-12-28,CLRB
2020-12-28,CLRB
2020-12-24,SPLP
2020-12-24,AUB
2020-12-24,NHLD
2020-12-24,CLSD
2020-12-23,SPLP
2020-12-23,BNED
2020-12-23,IQV
2020-12-23,MIRM
2020-12-23,FNF
2020-12-23,MIRM
2020-12-23,UIHC
2020-12-23,SOFO
2020-12-23,SOFO
2020-12-23,KFS
2020-12-23,NWFL
2020-12-23,TPL
2020-12-23,NANX
2020-12-23,GEF
2020-12-22,MDVL
2020-12-22,TCON
2020-12-22,ACNB
2020-12-22,MDWT
2020-12-22,CMPI
2020-12-22,UIHC
2020-12-22,GEF
2020-12-22,TURN
2020-12-22,MASS
2020-12-22,MASS
2020-12-22,MASS
2020-12-22,MASS
2020-12-22,MASS
2020-12-22,MASS
2020-12-22,MASS
2020-12-22,JKHY
2020-12-21,GOEV
2020-12-21,KFS
2020-12-21,GTIM
2020-12-21,VST
2020-12-21,AUB
2020-12-21,ODT
2020-12-21,COUP
2020-12-21,CLPR
2020-12-21,UIHC
2020-12-21,UIHC
2020-12-21,UIHC
2020-12-21,SCYX
2020-12-21,SCYX
2020-12-21,SCYX
2020-12-21,SCYX
2020-12-21,SCYX
2020-12-21,FKYS
2020-12-21,SREV
2020-12-21,HRB
2020-12-21,ACNB
2020-12-21,GEF
2020-12-21,GTX
2020-12-21,SVBI
2020-12-20,CRTD
2020-12-18,BRK.A
2020-12-18,TRCH
2020-12-18,MRUS
2020-12-18,TESS
2020-12-18,HROW
2020-12-18,SUM
2020-12-18,EGLE
2020-12-18,FL
2020-12-18,UPST
2020-12-18,BXG
2020-12-18,EGLE
2020-12-18,BCAB
2020-12-18,MDVL
2020-12-18,BCAB
2020-12-18,UEPS
2020-12-18,UEPS
2020-12-18,UEPS
2020-12-18,GPC
2020-12-18,TRC
2020-12-18,ARVN
2020-12-18,MG
2020-12-18,BRG
2020-12-18,GWRE
2020-12-18,ABIO
2020-12-18,GATO
2020-12-18,GTX
2020-12-18,HEPA
2020-12-18,ATH
2020-12-17,CNBKA
2020-12-17,AVCT
2020-12-17,GTIM
2020-12-17,VST
2020-12-17,NTAP
2020-12-17,GME
2020-12-17,EOSE
2020-12-17,KFS
2020-12-17,OPHC
2020-12-17,DLHC
2020-12-17,INBK
2020-12-17,MCFT
2020-12-17,BH
2020-12-17,CYTH
2020-12-17,VTVT
2020-12-17,AIM
2020-12-16,PURE
2020-12-16,BFI
2020-12-16,BFI
2020-12-16,BFI
2020-12-16,VST
2020-12-16,GDYN
2020-12-16,PERS
2020-12-16,VTRS
2020-12-16,USIO
2020-12-16,USIO
2020-12-16,MDVL
2020-12-16,QMCO
2020-12-16,MCFT
2020-12-16,ELYS
2020-12-16,PROG
2020-12-16,KRMD
2020-12-16,LXRX
2020-12-16,LXRX
2020-12-16,CTRN
2020-12-16,PCPL
2020-12-16,RBNC
2020-12-16,SONA
2020-12-15,MBIO
2020-12-15,GTYH
2020-12-15,FDMT
2020-12-15,CURI
2020-12-15,ABCL
2020-12-15,ABCL
2020-12-15,ABCL
2020-12-15,ABCL
2020-12-15,ACTG
2020-12-15,HYMC
2020-12-15,HYMC
2020-12-15,FDMT
2020-12-15,FDMT
2020-12-15,FDMT
2020-12-15,CMPI
2020-12-15,LSYN
2020-12-15,LSYN
2020-12-15,AVGO
2020-12-15,CADE
2020-12-15,CADE
2020-12-15,NMTR
2020-12-15,NMTR
2020-12-15,NMTR
2020-12-15,IMKTA
2020-12-15,GEF
2020-12-15,KFS
2020-12-15,KEQU
2020-12-15,ACTG
2020-12-15,LIVX
2020-12-15,CERT
2020-12-15,CSTR
2020-12-15,CERT
2020-12-15,CERT
2020-12-15,CRTD
2020-12-15,PROG
2020-12-15,CMTV
2020-12-15,LGIQ
2020-12-15,CTG
2020-12-14,MBIO
2020-12-14,UEPS
2020-12-14,UEPS
2020-12-14,UEPS
2020-12-14,AQB
2020-12-14,PGTK
2020-12-14,SONA
2020-12-14,MDVL
2020-12-14,UEPS
2020-12-14,UEPS
2020-12-14,UEPS
2020-12-14,UHAL
2020-12-14,UHAL
2020-12-14,UHAL
2020-12-14,BH
2020-12-14,SNEX
2020-12-14,CLRO
2020-12-14,SNEX
2020-12-14,VBFC
2020-12-14,DLHC
2020-12-14,SELB
2020-12-14,ATCX
2020-12-14,ELYS
2020-12-14,ADAP
2020-12-14,PROG
2020-12-14,ALXO
2020-12-14,URGN
2020-12-14,CTO
2020-12-14,NCSM
2020-12-14,KEY
2020-12-14,EPR
2020-12-14,HMST
2020-12-14,MBIO
2020-12-14,NHI
2020-12-14,DGICA
2020-12-11,TCDA
2020-12-11,DASH
2020-12-11,DASH
2020-12-11,DASH
2020-12-11,DASH
2020-12-11,IGMS
2020-12-11,IGMS
2020-12-11,IGMS
2020-12-11,IGMS
2020-12-11,AYTU
2020-12-11,XOMA
2020-12-11,XOMA
2020-12-11,AESE
2020-12-11,IDRA
2020-12-11,CMTL
2020-12-11,KFS
2020-12-11,PCPL
2020-12-11,EFSC
2020-12-11,EVLO
2020-12-11,MAYS
2020-12-11,SCND
2020-12-11,ELYS
2020-12-11,AAOI
2020-12-11,STFC
2020-12-11,DCTH
2020-12-11,NTWK
2020-12-11,MBCN
2020-12-10,BDGE
2020-12-10,RCKT
2020-12-10,ULH
2020-12-10,CURI
2020-12-10,DK
2020-12-10,CAR
2020-12-10,CMT
2020-12-10,LAZY
2020-12-10,PCPL
2020-12-10,ATI
2020-12-10,HTBK
2020-12-10,HYFM
2020-12-10,DFIN
2020-12-10,ISNS
2020-12-10,DGICA
2020-12-10,DASH
2020-12-10,TCDA
2020-12-10,ARDX
2020-12-10,ATO
2020-12-10,VTVT
2020-12-10,SYNL
2020-12-09,CNBKA
2020-12-09,CCI
2020-12-09,XELB
2020-12-09,PERS
2020-12-09,SSTI
2020-12-09,COTY
2020-12-09,CCI
2020-12-09,SREV
2020-12-09,LAZY
2020-12-09,OTIS
2020-12-09,VAPO
2020-12-09,MTEM
2020-12-09,GVP
2020-12-09,PDCE
2020-12-09,XERS
2020-12-09,COLD
2020-12-09,WTFC
2020-12-09,BFIN
2020-12-09,STFC
2020-12-09,PTRS
2020-12-09,BOXL
2020-12-09,GTE
2020-12-09,CSV
2020-12-09,BOXL
2020-12-08,SEER
2020-12-08,CRTD
2020-12-08,KAVL
2020-12-08,BH
2020-12-08,MNKD
2020-12-08,COTY
2020-12-08,KDNY
2020-12-08,SYNL
2020-12-08,AESE
2020-12-08,SGTX
2020-12-08,ESCA
2020-12-08,NHLD
2020-12-08,KDP
2020-12-08,SEER
2020-12-08,SEER
2020-12-08,KRMD
2020-12-08,ISNS
2020-12-08,SEER
2020-12-08,UAL
2020-12-08,DLTR
2020-12-08,MDLZ
2020-12-08,CNNE
2020-12-08,ACFN
2020-12-08,SBTX
2020-12-08,SBTX
2020-12-08,SBTX
2020-12-08,SBTX
2020-12-08,SBTX
2020-12-08,SBTX
2020-12-08,SBTX
2020-12-08,BZH
2020-12-08,CODI
2020-12-08,HEPA
2020-12-07,SMMF
2020-12-07,PROG
2020-12-07,PROG
2020-12-07,CURI
2020-12-07,FMBI
2020-12-07,MSVB
2020-12-07,BOXL
2020-12-07,USIO
2020-12-07,USIO
2020-12-07,DLTR
2020-12-05,WAB
2020-12-04,PGTK
2020-12-04,CAR
2020-12-04,CTHR
2020-12-04,CLRO
2020-12-04,TESS
2020-12-04,HCHC
2020-12-04,BKI
2020-12-04,HRTH
2020-12-04,MPLN
2020-12-04,ARAV
2020-12-04,ARAV
2020-12-04,GFF
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,RGLS
2020-12-04,VSTM
2020-12-04,FLL
2020-12-04,COHN
2020-12-04,DMAC
2020-12-04,VBFC
2020-12-04,VBFC
2020-12-04,VBFC
2020-12-03,CERC
2020-12-03,NVDA
2020-12-03,SCX
2020-12-03,LSYN
2020-12-03,ATCX
2020-12-03,ATCX
2020-12-03,VYNE
2020-12-03,SUMR
2020-12-03,ACIW
2020-12-03,PLMR
2020-12-03,HMHC
2020-12-03,AVT
2020-12-03,SMMF
2020-12-03,KNTE
2020-12-03,GTYH
2020-12-03,ELYS
2020-12-03,BV
